,Weight Class,Fighter Name,Last Fight Date,Age,Height,Reach,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Strikes by Position to Head,Strikes by Position to Body,Strikes by Position to Leg,Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,SDBL/A,SDHL/A,SDLL/A,TSL,TSA,SSL,SSA,TSL-TSA,KD,%BODY,%HEAD,%LEG,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC,SGBL,SGBA,SGHL,SGHA,SGLL,SGLA,AD,ADTB,ADHG,ADTM,ADTS,SM
47,Light Heavyweight,Dominick Reyes,2024-06-08,34.0,64.0,77.0,4.75,50.0,3.77,48.0,0.98,331.0,121.0,88.0,0.36,29.0,81.0,0.36,0.35,0.19,0.13,42.91,86.63,41.11,84.43,0.51,0.15,0.68,0.34,0.69,0.57,0.57,1.17,1.17,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,0.0,0.0,1.72,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
48,Light Heavyweight,Dustin Jacoby,2024-06-08,35.0,63.0,76.0,5.53,48.0,4.07,58.0,1.46,788.0,136.0,149.0,0.36,25.0,60.0,0.0,0.14,0.27,0.32,73.18,132.02,61.42,119.21,0.52,0.37,0.55,0.39,0.92,3.06,3.06,2.2,2.58,0.0,0.0,0.0,0.0,0.2,1.72,0.0,0.03,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Bantamweight,Brad Katona,2024-01-20,32.0,56.0,64.5,4.71,50.0,4.98,48.0,0.27,286.0,59.0,79.0,1.5,27.0,53.0,0.0,0.15,0.17,0.21,58.03,116.79,52.09,108.92,0.23,0.0,0.38,0.19,0.43,2.53,3.43,8.67,14.13,0.5,0.5,0.0,0.0,1.0,2.71,0.0,0.11,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Bantamweight,Jesse Butler,2023-06-03,31.0,510.0,73.0,2.61,14.0,7.83,40.0,0.965,1.0,0.0,0.0,0.0,38.0,67.0,0.0,0.0,0.0,0.0,0.25,1.75,0.25,1.75,0.04,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Bantamweight,Cody Stamann,2023-05-13,33.0,66.5,64.5,4.39,48.0,3.63,63.0,0.76,465.0,169.0,70.0,2.34,40.0,76.0,0.0,0.27,0.21,0.0,58.35,115.68,49.49,105.74,0.49,0.45,0.6,0.41,0.71,1.05,1.05,2.7,3.87,0.0,0.0,0.15,0.0,0.4,2.65,0.0,0.09,0.0,0.0,2.6,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Bantamweight,Taylor Lapilus,2024-01-13,31.0,60.0,73.0,3.91,47.0,2.37,61.0,1.54,213.0,76.0,29.0,0.37,40.0,78.0,0.37,1.7258142638297874e+18,0.39,1.7176715234042555e+18,62.78,128.09,60.83,126.14,0.48,0.0,0.73,0.4,0.74,3.37,4.79,1.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,2.05,0.53,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Welterweight,Charles Radtke,2024-02-03,33.0,59.0,72.0,3.9699999999999998,48.0,4.09,51.0,0.965,0.0,0.0,0.0,1.11,38.0,67.0,0.36,0.0,0.23,0.0,22.47,38.02,15.41,28.9,0.29,0.5,0.23,0.24,0.25,0.0,0.0,1.8,3.83,0.0,0.0,0.0,0.0,0.23,1.35,0.0,0.04,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Welterweight,Carlos Prates,2024-02-10,30.0,61.0,78.0,4.38,56.0,5.95,38.0,0.965,67.0,0.0,0.0,1.11,38.0,67.0,0.36,0.17,0.12,0.18,16.28,28.89,16.03,28.64,0.27,0.48,0.4,0.15,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Middleweight,Brunno Ferreira,2024-01-13,31.0,511.0,72.0,5.0,50.0,4.17,48.0,0.965,44.0,5.0,11.0,1.25,17.0,67.0,0.36,0.0,0.19,0.0,14.09,27.15,12.63,25.45,0.47,0.63,0.27,0.41,0.79,0.17,0.68,0.72,0.97,0.0,0.0,0.0,0.0,0.25,1.4,0.0,0.06,0.0,0.0,1.9,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Middleweight,Dustin Stoltzfus,2023-12-02,32.0,60.0,75.0,3.49,44.0,3.29,48.0,0.965,124.0,53.0,63.0,2.4,41.0,46.0,0.66,0.21,0.16,0.42,61.26,113.93,37.94,87.95,0.44,0.25,0.65,0.23,0.7,1.55,1.55,0.35,1.48,0.0,0.15,0.15,0.0,2.1,3.9,0.0,0.4,0.0,0.0,3.22,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
57,Bantamweight,Daniel Marcos,2024-02-10,30.0,57.0,69.0,5.75,51.0,4.0,67.0,1.75,160.0,43.0,60.0,0.33,50.0,89.0,0.0,0.16,0.36,0.55,58.92,111.99,55.87,108.77,0.47,0.37,0.56,0.39,0.68,2.38,2.38,3.52,4.55,0.0,0.0,0.17,0.0,0.23,0.43,0.0,0.23,0.0,0.0,1.95,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Women's Strawweight,Eduarda Moura,2023-11-04,29.0,60.0,67.0,5.61,68.0,0.45,80.0,5.16,61.0,2.0,0.0,5.34,100.0,67.0,1.34,0.0,0.0,0.0,34.8,48.81,15.64,22.9,0.33,0.0,0.25,0.27,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.48,0.25,0.25,13.66,18.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
59,Women's Strawweight,Denise Gomes,2023-11-04,23.0,52.0,63.0,4.81,49.0,3.66,49.0,1.15,140.0,45.0,70.0,1.13,33.0,47.0,0.85,0.0,0.19,0.1,75.05,131.46,48.87,98.83,0.66,0.43,0.59,0.51,0.58,5.86,6.76,4.85,8.07,0.0,0.0,0.6,0.0,0.85,2.4,0.0,0.28,0.2,0.2,5.18,7.21,2.4,2.8,0.0,0.0,0.0,0.0,0.0,0.52
60,Middleweight,Julian Marquez,2023-03-04,33.0,62.0,72.0,4.86,45.0,4.99,51.0,0.965,198.0,67.0,46.0,0.0,0.0,53.0,2.58,0.24,0.27,0.0,54.11,117.56,49.86,111.75,0.45,0.2,0.52,0.38,0.59,0.95,1.2,7.38,11.56,0.0,0.0,0.17,0.0,0.0,0.57,0.0,0.0,0.4,0.4,4.8,6.5,0.0,0.0,0.15,0.15,0.0,0.0,0.0,1.2
61,Women's Flyweight,Andrea Lee,2024-02-17,35.0,56.0,69.5,4.69,47.0,3.76,63.0,0.93,648.0,255.0,177.0,1.85,58.0,55.0,0.62,0.27,0.24,0.31,59.75,134.25,47.27,120.02,0.45,0.17,0.61,0.26,0.81,1.3,1.67,1.37,2.05,0.25,0.25,0.0,0.0,1.68,2.25,0.0,0.46,0.0,0.0,0.95,1.97,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.25
62,Women's Flyweight,Montana De La Rosa,2023-10-07,28.0,57.0,68.0,2.7,37.0,3.21,44.0,0.965,249.0,66.0,39.0,1.71,31.0,65.0,0.8,0.0,0.11,0.2,61.37,117.19,30.27,79.57,0.61,0.0,0.69,0.37,0.49,2.75,3.55,2.9,6.06,0.0,0.0,0.2,0.0,1.0,2.97,0.0,0.25,0.15,0.15,5.07,6.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Women's Strawweight,Rayanne dos Santos,2023-12-09,28.0,52.0,62.0,3.73,37.0,4.63,65.0,0.965,85.0,17.0,10.0,0.5,20.0,89.0,0.0,0.04,0.09,8.22,46.04,47.31,40.28,32.63,0.13,0.06,0.21,0.22,0.29,0.9,1.2,2.75,2.26,0.0,0.0,0.0,0.15,0.6,0.25,0.04,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Flyweight,Jimmy Flick,2024-01-20,33.0,57.0,68.0,1.7,50.0,5.2,41.0,0.965,50.0,26.0,30.0,5.38,27.0,0.0,5.38,0.0,1.7117937660759498e+18,1.709517180759494e+18,16.49,29.46,10.39,21.41,0.54,0.0,0.46,0.41,0.74,0.0,0.0,0.0,0.3,0.0,0.0,0.15,0.0,0.75,3.13,0.0,0.23,0.0,0.0,1.05,1.49,0.0,0.0,1.49,0.3,0.15,0.6,0.45,2.22
65,Flyweight,Nate Maness,2023-10-07,30.0,510.0,72.0,2.33,48.0,4.29,41.0,0.965,76.0,21.0,3.0,0.87,75.0,78.0,0.29,0.0,0.13,0.0,57.05,77.25,18.91,36.49,0.72,0.32,0.84,0.42,0.63,1.3,1.45,0.0,0.4,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.25,0.0,0.25,8.44,9.51,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.15
66,Welterweight,Adam Fugitt,2023-06-10,34.0,61.0,77.0,4.3,54.0,5.13,48.0,0.965,53.0,32.0,15.0,3.43,33.0,50.0,0.0,0.15,0.09,0.0,25.45,44.94,19.79,37.05,0.37,0.0,0.45,0.27,0.38,0.63,0.63,1.48,2.28,0.0,0.0,0.0,0.0,1.1,3.18,0.0,0.15,0.0,0.0,1.35,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Welterweight,Josh Quinlan,2024-02-17,31.0,60.0,72.0,3.59,42.0,6.91,50.0,0.965,59.0,18.0,23.0,0.51,11.0,60.0,0.0,0.19,0.13,0.23,23.91,56.94,23.91,56.94,0.37,0.37,0.36,0.31,0.64,0.0,0.0,0.97,0.97,0.0,0.0,0.0,0.0,0.23,2.05,0.0,0.03,0.0,0.0,0.63,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Bantamweight,Garrett Armfield,2024-01-20,27.0,56.0,70.0,6.22,54.0,3.93,58.0,2.29,159.0,34.0,12.0,0.0,0.0,65.0,0.0,0.19,0.31,0.0,48.52,82.32,40.66,73.86,0.37,0.23,0.49,0.31,0.45,0.0,0.4,1.7,1.9,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.23,0.23,0.9,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Bantamweight,Brady Hiestand,2023-04-22,24.0,58.0,71.0,2.93,52.0,3.65,54.0,0.72,98.0,21.0,11.0,4.06,46.0,43.0,0.34,0.0,0.2,0.0,53.08,84.72,28.76,54.76,0.43,0.0,0.5,0.32,0.54,0.63,0.83,1.23,1.43,0.2,0.2,0.2,0.0,2.63,5.76,0.0,0.3,0.2,0.2,2.23,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
70,Women's Strawweight,Julia Polastri,2024-03-02,25.0,52.0,63.5,6.19,52.0,5.11,63.0,1.08,103.0,31.0,15.0,0.62,100.0,43.0,0.62,0.16,0.17,0.0,41.12,70.32,30.76,57.81,0.23,0.0,0.29,0.19,0.33,1.3,1.3,0.15,0.3,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.5,0.5,2.81,3.31,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25
71,Women's Flyweight,Carli Judice,2023-12-02,31.0,59.5,72.0,3.9699999999999998,48.0,4.09,51.0,0.965,169.5,45.0,32.5,1.11,38.0,67.0,0.36,0.24,0.13,0.0,53.04,91.63,49.5,86.62,0.17,0.0,0.22,0.14,0.29,5.01,8.54,5.01,8.54,0.59,0.59,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Women's Flyweight,Gabriella Fernandes,2023-06-17,29.0,56.0,66.0,1.63,48.0,2.7,47.0,0.965,21.0,13.0,15.0,0.0,0.0,61.0,0.0,0.0,0.14,0.0,23.95,37.42,11.62,24.4,0.31,0.0,0.39,0.14,0.45,0.48,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Heavyweight,Andrei Arlovski,2024-01-13,44.0,63.0,77.0,3.78,45.0,3.2,58.0,0.58,920.0,329.0,398.0,0.38,37.0,77.0,0.21,0.24,0.26,0.24,49.94,98.1,45.8,93.96,0.49,0.0,0.6,0.33,0.83,1.52,1.52,0.47,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Heavyweight,Martin Buday,2023-12-16,32.0,64.0,77.0,5.17,52.0,5.7,55.0,0.965,194.0,62.0,37.0,0.26,25.0,100.0,0.26,0.0,0.34,0.17,77.32,131.35,50.96,100.75,0.58,0.15,0.63,0.46,0.52,7.36,8.01,4.1,7.15,0.0,0.0,0.0,0.0,0.23,0.73,0.0,0.23,0.0,0.0,2.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
75,Middleweight,Andre Muniz,2023-12-09,33.0,61.0,78.0,1.97,50.0,1.99,54.0,0.02,127.0,32.0,30.0,4.23,50.0,36.0,1.25,1.70997696e+18,0.06,1.7140683827848102e+18,43.84,83.73,21.68,48.13,0.56,0.0,0.73,0.4,0.95,0.0,0.0,0.52,0.9,0.0,0.0,0.25,0.0,4.21,7.05,0.0,0.55,0.17,0.17,2.9,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
76,Middleweight,Ikram Aliskerov,2023-10-21,30.0,60.0,76.0,8.24,65.0,7.15,51.0,1.09,34.0,18.0,1.0,2.33,33.0,67.0,2.33,0.0,0.3,0.0,12.42,18.86,12.42,18.86,0.43,0.48,0.57,0.34,0.23,0.43,0.43,0.0,0.23,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
77,Featherweight,Jeka Saragih,2023-11-18,28.0,58.0,69.0,3.9699999999999998,48.0,4.09,51.0,0.965,0.0,0.0,0.0,1.11,38.0,67.0,0.36,0.0,0.0,0.0,5.51,11.27,4.16,7.89,0.22,0.25,0.29,0.17,0.18,0.45,0.45,0.0,0.23,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.95,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Featherweight,Westin Wilson,2024-01-13,34.0,61.0,73.0,2.11,34.0,6.62,29.0,4.51,8.0,3.0,4.0,0.0,0.0,67.0,4.23,0.0,0.0,0.0,5.91,13.08,3.66,10.83,0.25,0.0,0.17,0.07,0.48,0.23,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
79,Flyweight,Jose Johnson,2023-11-18,28.0,60.0,72.5,2.8,61.0,1.73,56.0,1.07,92.0,30.0,14.0,0.62,50.0,37.0,0.62,0.0,0.09,0.0,55.14,75.36,27.59,43.97,0.5,0.0,0.5,0.4,0.51,2.05,2.7,1.0,3.31,0.25,0.5,1.7,0.0,0.45,0.7,0.0,0.33,0.75,1.45,13.09,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
80,Flyweight,Alex Perez,2024-04-27,32.0,56.0,65.5,4.1,46.0,3.13,59.0,0.97,202.0,45.0,82.0,2.06,44.0,83.0,0.93,0.0,0.13,0.12,24.99,57.84,21.16,51.75,0.48,0.55,0.68,0.36,0.85,0.15,0.15,1.05,1.62,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,2.2,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Flyweight,Tagir Ulanbekov,2023-12-16,32.0,57.0,70.0,3.22,46.0,3.3,51.0,0.08,147.0,23.0,12.0,3.71,47.0,61.0,2.12,0.0,0.13,0.0,56.64,99.25,34.93,74.71,0.62,0.25,0.62,0.46,0.64,1.85,2.28,3.15,3.85,1.0,1.0,0.72,0.0,2.57,5.47,0.0,0.61,0.0,0.0,3.6,4.3,0.0,0.0,0.3,0.0,0.3,0.0,0.0,1.85
82,Welterweight,Conor McGregor,2021-07-10,34.0,59.0,74.0,5.32,50.0,4.66,54.0,0.66,419.0,102.0,78.0,0.67,56.0,67.0,0.13,0.0,0.22,0.0,49.24,75.91,30.79,56.29,0.67,0.65,0.64,0.54,0.64,1.97,1.97,1.52,2.05,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,6.65,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
83,Welterweight,Michael Chandler,2022-11-12,37.0,58.0,71.5,4.89,46.0,4.58,46.0,0.31,240.0,64.0,35.0,2.17,38.0,71.0,0.87,0.16,0.13,0.0,55.61,113.72,45.24,99.2,0.55,0.37,0.68,0.45,0.77,0.6,0.6,0.7,0.7,0.0,0.0,0.17,0.0,1.18,3.18,0.0,0.37,0.17,0.35,9.98,15.03,0.35,0.52,0.0,0.0,0.0,0.0,0.0,0.17
84,Light Heavyweight,Jamahal Hill,2024-04-13,32.0,64.0,79.0,7.18,55.0,3.51,46.0,3.67,408.0,156.0,56.0,0.0,38.0,73.0,0.0,0.18,0.19,0.0,86.71,143.71,74.73,131.3,0.52,0.32,0.76,0.34,0.65,3.33,3.33,4.6,5.68,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.68,0.68,9.11,12.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Light Heavyweight,Khalil Rountree Jr.,2023-12-09,34.0,61.0,76.5,3.84,39.0,4.18,50.0,0.34,267.0,92.0,92.0,0.0,0.0,59.0,0.13,0.41,0.21,0.32,45.46,108.98,44.11,107.17,0.47,0.97,0.8,0.37,0.92,0.45,0.45,2.17,3.45,0.17,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.35,0.52,1.05,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Women's Bantamweight,Mayra Bueno Silva,2024-01-20,32.0,56.0,66.5,3.84,58.0,4.86,53.0,0.965,201.0,135.0,87.0,0.68,38.0,68.0,1.63,5.44,12.38,8.97,56.49,82.39,43.29,67.59,0.73,0.0,0.65,0.6,0.79,8.74,9.84,5.01,5.41,0.0,0.0,0.0,0.0,1.15,3.01,0.0,0.22,0.0,0.0,2.75,3.45,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.65
87,Women's Bantamweight,Macy Chiasson,2024-03-16,32.0,511.0,72.0,3.53,45.0,2.53,47.0,1.0,204.0,125.0,27.0,2.38,37.0,63.0,0.45,4.85,12.94,4.57,68.6,122.59,28.35,77.12,0.53,0.0,0.65,0.3,0.53,2.39,2.74,1.32,1.62,0.0,0.17,0.4,0.0,2.7,5.2,0.0,0.67,0.0,0.0,2.28,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
88,Featherweight,Cub Swanson,2023-08-12,39.0,58.0,70.0,4.7,51.0,3.84,59.0,0.86,1340.0,326.0,348.0,1.09,52.0,61.0,0.42,0.2,0.3,0.21,52.25,86.35,41.96,73.81,0.63,0.5,0.72,0.55,0.64,3.38,3.38,2.0,3.21,0.25,0.25,0.0,0.0,0.63,0.88,0.0,0.5,0.0,0.0,1.3,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Featherweight,Andre Fili,2024-06-29,33.0,511.0,74.0,3.85,37.0,4.11,51.0,0.965,760.0,127.0,117.0,2.16,48.0,69.0,0.26,0.0,0.13,0.0,35.44,82.15,29.31,73.63,0.42,0.43,0.41,0.38,0.52,0.0,0.0,0.6,1.17,0.0,0.0,0.2,0.0,0.17,0.92,0.0,0.06,0.0,0.0,3.1,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
90,Middleweight,Joe Pyfer,2024-02-10,27.0,62.0,75.0,3.66,41.0,3.58,51.0,0.08,168.0,48.0,22.0,1.49,42.0,50.0,0.9,0.18,0.27,0.0,38.8,97.54,38.05,96.31,0.44,0.32,0.74,0.35,0.58,0.45,0.45,0.0,0.0,0.0,0.0,0.15,0.0,0.83,2.55,0.0,0.32,1.0,1.0,1.22,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
91,Women's Strawweight,Michelle Waterson-Gomez,2023-09-23,38.0,53.0,62.0,3.56,47.0,4.19,50.0,0.63,364.0,226.0,201.0,1.42,32.0,70.0,0.68,0.32,0.12,0.48,68.45,159.21,57.29,145.78,0.45,0.0,0.64,0.27,0.62,2.25,2.85,3.34,5.17,1.13,1.13,0.0,0.0,1.0,5.92,0.0,0.3,0.0,0.0,2.87,4.87,0.0,0.0,0.3,0.15,0.15,0.0,0.0,0.0
92,Women's Strawweight,Gillian Robertson,2024-01-20,28.0,55.0,63.0,2.61,46.0,3.12,56.0,0.51,260.0,72.0,71.0,2.53,43.0,44.0,0.97,0.14,0.08,0.28,50.29,112.4,36.55,90.13,0.49,0.0,0.35,0.36,0.71,0.9,1.05,0.6,1.73,0.0,0.0,0.0,0.0,1.8,4.12,0.0,0.54,0.0,0.0,7.31,9.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
93,Flyweight,Carlos Hernandez,2023-12-09,30.0,58.0,67.0,4.95,46.0,4.54,47.0,0.41,187.0,58.0,23.0,1.11,15.0,66.0,0.28,0.1,0.19,0.0,56.09,117.07,50.26,109.74,0.48,0.0,0.49,0.42,0.52,3.49,4.02,5.8,7.87,0.0,0.0,0.0,0.0,0.8,4.85,0.0,0.1,0.17,0.17,2.05,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
94,Bantamweight,Vinicius Oliveira,2024-01-13,31.0,56.0,69.0,3.01,44.0,3.61,62.0,0.6,347.0,79.0,75.0,5.49,47.0,77.0,0.36,0.0,0.17,0.13,28.59,55.9,23.33,49.38,0.24,0.48,0.3,0.18,0.32,0.5,0.75,0.25,2.51,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.13,0.5,0.5,3.26,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Bantamweight,Payton Talbott,2024-03-23,25.0,510.0,70.5,8.05,54.0,3.58,51.0,4.47,171.0,57.0,24.0,0.0,0.0,90.0,0.48,0.37,0.2,0.19,66.47,114.11,55.11,100.67,0.41,0.25,0.56,0.33,0.66,2.0,2.0,1.1,3.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,8.37,11.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
96,Bantamweight,Yanis Ghemmouri,2023-09-02,29.0,59.0,69.0,2.27,38.0,4.22,41.0,1.95,0.0,7.0,21.0,0.0,0.0,67.0,0.0,0.0,0.0,0.14,10.03,22.06,7.02,18.3,0.11,0.0,0.16,0.0,0.14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
