,Weight Class,Fighter Name,Last Fight Date,Age,Height,Reach,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Strikes by Position to Head,Strikes by Position to Body,Strikes by Position to Leg,Control Time per Position Distance,Control Time per Position Clinch,Control Time per Position Ground,Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,Ground Control Time,SDBL/A,SDHL/A,SDLL/A,TSL,TSA,SSL,SSA,TSL-TSA,KD,%BODY,%HEAD,%LEG,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC,SGBL,SGBA,SGHL,SGHA,SGLL,SGLA,AD,ADTB,ADHG,ADTM,ADTS,SM,
47,Light Heavyweight,Dominick Reyes,2024-06-08 00:00:00,34.0,6 ft 4 in,77 in,4.75,50,3.77,48,0.98,331.0,121.0,88.0,xx,xx,xx,0.36,29,81,0.36,xx,0.35,0.19,0.13,42.91,86.63,41.11,84.43,0.51,0.15,0.68,0.34,0.69,0.57,0.57,1.17,1.17,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,0.0,0.0,1.72,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,
48,Light Heavyweight,Dustin Jacoby,2024-06-08 00:00:00,35.0,6 ft 3 in,76 in,5.53,48,4.07,58,1.46,788.0,136.0,149.0,xx,xx,xx,0.36,25,60,0,xx,0.14,0.27,0.32,73.18,132.02,61.42,119.21,0.52,0.37,0.55,0.39,0.92,3.06,3.06,2.2,2.58,0.0,0.0,0.0,0.0,0.2,1.72,0.0,0.03,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,Bantamweight,Brad Katona,2024-01-20 00:00:00,32.0,5 ft 6 in,64.5 in,4.71,50,4.98,48,0.27,286.0,59.0,79.0,xx,xx,xx,1.5,27,53,0,xx,0.15,0.17,0.21,58.03,116.79,52.09,108.92,0.23,0.0,0.38,0.19,0.43,2.53,3.43,8.67,14.13,0.5,0.5,0.0,0.0,1.0,2.71,0.0,0.11,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50,Bantamweight,Jesse Butler,2023-06-03 00:00:00,31.0,5 ft 10 in,73 in,2.61,14,7.83,40,xx,1.0,0.0,0.0,xx,xx,xx,0,xx,xx,0,xx,0.0,0.0,0.0,0.25,1.75,0.25,1.75,0.04,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
51,Bantamweight,Cody Stamann,2023-05-13 00:00:00,33.0,6 ft 6.5 in,64.5 in,4.39,48,3.63,63,0.76,465.0,169.0,70.0,xx,xx,xx,2.34,40,76,0,12:21:00,0.27,0.21,0.0,58.35,115.68,49.49,105.74,0.49,0.45,0.6,0.41,0.71,1.05,1.05,2.7,3.87,0.0,0.0,0.15,0.0,0.4,2.65,0.0,0.09,0.0,0.0,2.6,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52,Bantamweight,Taylor Lapilus,2024-01-13 00:00:00,31.0,6 ft 0 in,73 in,3.91,47,2.37,61,1.54,213.0,76.0,29.0,xx,xx,xx,0.37,40,78,0.37,13:34:00,1.7258142638297874e+18,0.39,1.7176715234042555e+18,62.78,128.09,60.83,126.14,0.48,0.0,0.73,0.4,0.74,3.37,4.79,1.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,2.05,0.53,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
53,Welterweight,Charles Radtke,2024-02-03 00:00:00,33.0,5 ft 9 in,72 in,xx,xx,xx,xx,xx,0.0,0.0,0.0,xx,xx,xx,xx,xx,xx,xx,xx,0.0,0.23,0.0,22.47,38.02,15.41,28.9,0.29,0.5,0.23,0.24,0.25,0.0,0.0,1.8,3.83,0.0,0.0,0.0,0.0,0.23,1.35,0.0,0.04,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54,Welterweight,Carlos Prates,2024-02-10 00:00:00,30.0,6 ft 1 in,78 in,4.38,56,5.95,38,xx,67.0,0.0,0.0,xx,xx,xx,xx,xx,xx,xx,xx,0.17,0.12,0.18,16.28,28.89,16.03,28.64,0.27,0.48,0.4,0.15,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
55,Middleweight,Brunno Ferreira,2024-01-13 00:00:00,31.0,5 ft 11 in,72 in,5,50,4.17,48,xx,44.0,5.0,11.0,xx,xx,xx,1.25,17,67,xx,xx,0.0,0.19,0.0,14.09,27.15,12.63,25.45,0.47,0.63,0.27,0.41,0.79,0.17,0.68,0.72,0.97,0.0,0.0,0.0,0.0,0.25,1.4,0.0,0.06,0.0,0.0,1.9,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56,Middleweight,Dustin Stoltzfus,2023-12-02 00:00:00,32.0,6 ft 0 in,75 in,3.49,44,3.29,48,xx,124.0,53.0,63.0,xx,xx,xx,2.4,41,46,0.66,xx,0.21,0.16,0.42,61.26,113.93,37.94,87.95,0.44,0.25,0.65,0.23,0.7,1.55,1.55,0.35,1.48,0.0,0.15,0.15,0.0,2.1,3.9,0.0,0.4,0.0,0.0,3.22,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,
57,Bantamweight,Daniel Marcos,2024-02-10 00:00:00,30.0,5 ft 7 in,69 in,5.75,51,4,67,1.75,160.0,43.0,60.0,xx,xx,xx,0.33,50,89,0,xx,0.16,0.36,0.55,58.92,111.99,55.87,108.77,0.47,0.37,0.56,0.39,0.68,2.38,2.38,3.52,4.55,0.0,0.0,0.17,0.0,0.23,0.43,0.0,0.23,0.0,0.0,1.95,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
58,Women's Strawweight,Eduarda Moura,2023-11-04 00:00:00,29.0,6 ft 0 in,67 in,5.61,68,0.45,80,5.16,61.0,2.0,0.0,xx,xx,xx,5.34,100,xx,1.34,05:37:00,0.0,0.0,0.0,34.8,48.81,15.64,22.9,0.33,0.0,0.25,0.27,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.48,0.25,0.25,13.66,18.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,
59,Women's Strawweight,Denise Gomes,2023-11-04 00:00:00,23.0,5 ft 2 in,63 in,4.81,49,3.66,49,1.15,140.0,45.0,70.0,xx,xx,xx,1.13,33,47,0.85,10:36:00,0.0,0.19,0.1,75.05,131.46,48.87,98.83,0.66,0.43,0.59,0.51,0.58,5.86,6.76,4.85,8.07,0.0,0.0,0.6,0.0,0.85,2.4,0.0,0.28,0.2,0.2,5.18,7.21,2.4,2.8,0.0,0.0,0.0,0.0,0.0,0.52,
60,Middleweight,Julian Marquez,2023-03-04 00:00:00,33.0,6 ft 2 in,72 in,4.86,45,4.99,51,xx,198.0,67.0,46.0,xx,xx,xx,0,0,53,2.58,xx,0.24,0.27,0.0,54.11,117.56,49.86,111.75,0.45,0.2,0.52,0.38,0.59,0.95,1.2,7.38,11.56,0.0,0.0,0.17,0.0,0.0,0.57,0.0,0.0,0.4,0.4,4.8,6.5,0.0,0.0,0.15,0.15,0.0,0.0,0.0,1.2,
61,Women's Flyweight,Andrea Lee,2024-02-17 00:00:00,35.0,5 ft 6 in,69.5 in,4.69,47,3.76,63,0.93,648.0,255.0,177.0,xx,xx,xx,1.85,58,55,0.62,xx,0.27,0.24,0.31,59.75,134.25,47.27,120.02,0.45,0.17,0.61,0.26,0.81,1.3,1.67,1.37,2.05,0.25,0.25,0.0,0.0,1.68,2.25,0.0,0.46,0.0,0.0,0.95,1.97,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.25,
62,Women's Flyweight,Montana De La Rosa,2023-10-07 00:00:00,28.0,5 ft 7 in,68 in,2.7,37,3.21,44,xx,249.0,66.0,39.0,xx,xx,xx,1.71,31,65,0.8,xx,0.0,0.11,0.2,61.37,117.19,30.27,79.57,0.61,0.0,0.69,0.37,0.49,2.75,3.55,2.9,6.06,0.0,0.0,0.2,0.0,1.0,2.97,0.0,0.25,0.15,0.15,5.07,6.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
63,Women's Strawweight,Rayanne dos Santos,2023-12-09 00:00:00,28.0,5 ft 2 in,62 in,3.73,37,4.63,65,xx,85.0,17.0,10.0,xx,xx,xx,0.5,20,89,0,xx,0.04,0.09,8.22,46.04,47.31,40.28,32.63,0.13,0.06,0.21,0.22,0.29,0.9,1.2,2.75,2.26,0.0,0.0,0.0,0.15,0.6,0.25,0.04,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
64,Flyweight,Jimmy Flick,2024-01-20 00:00:00,33.0,5 ft 7 in,68 in,1.7,50,5.2,41,xx,50.0,26.0,30.0,xx,xx,xx,5.38,27,0,5.38,xx,0.0,1.7117937660759498e+18,1.709517180759494e+18,16.49,29.46,10.39,21.41,0.54,0.0,0.46,0.41,0.74,0.0,0.0,0.0,0.3,0.0,0.0,0.15,0.0,0.75,3.13,0.0,0.23,0.0,0.0,1.05,1.49,0.0,0.0,1.49,0.3,0.15,0.6,0.45,2.22,0.0
65,Flyweight,Nate Maness,2023-10-07 00:00:00,30.0,5 ft 10 in,72 in,2.33,48,4.29,41,xx,76.0,21.0,3.0,xx,xx,xx,0.87,75,78,0.29,xx,0.0,0.13,0.0,57.05,77.25,18.91,36.49,0.72,0.32,0.84,0.42,0.63,1.3,1.45,0.0,0.4,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.25,0.0,0.25,8.44,9.51,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.15,0.0
66,Welterweight,Adam Fugitt,2023-06-10 00:00:00,34.0,6 ft 1 in,77 in,4.3,54,5.13,48,xx,53.0,32.0,15.0,xx,xx,xx,3.43,33,50,0,xx,0.15,0.09,0.0,25.45,44.94,19.79,37.05,0.37,0.0,0.45,0.27,0.38,0.63,0.63,1.48,2.28,0.0,0.0,0.0,0.0,1.1,3.18,0.0,0.15,0.0,0.0,1.35,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Welterweight,Josh Quinlan,2024-02-17 00:00:00,31.0,6 ft 0 in,72 in,3.59,42,6.91,50,xx,59.0,18.0,23.0,xx,xx,xx,0.51,11,60,0,xx,0.19,0.13,0.23,23.91,56.94,23.91,56.94,0.37,0.37,0.36,0.31,0.64,0.0,0.0,0.97,0.97,0.0,0.0,0.0,0.0,0.23,2.05,0.0,0.03,0.0,0.0,0.63,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Bantamweight,Garrett Armfield,2024-01-20 00:00:00,27.0,5 ft 6 in,70 in,6.22,54,3.93,58,2.29,159.0,34.0,12.0,xx,xx,xx,0,0,65,0,xx,0.19,0.31,0.0,48.52,82.32,40.66,73.86,0.37,0.23,0.49,0.31,0.45,0.0,0.4,1.7,1.9,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.23,0.23,0.9,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Bantamweight,Brady Hiestand,2023-04-22 00:00:00,24.0,5 ft 8 in,71 in,2.93,52,3.65,54,-0.72,98.0,21.0,11.0,xx,xx,xx,4.06,46,43,0.34,xx,0.0,0.2,0.0,53.08,84.72,28.76,54.76,0.43,0.0,0.5,0.32,0.54,0.63,0.83,1.23,1.43,0.2,0.2,0.2,0.0,2.63,5.76,0.0,0.3,0.2,0.2,2.23,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0
70,Women's Strawweight,Julia Polastri,2024-03-02 00:00:00,25.0,5 ft 2 in,63.5 in,6.19,52,5.11,63,1.08,103.0,31.0,15.0,xx,xx,xx,0.62,100,43,0.62,xx,0.16,0.17,0.0,41.12,70.32,30.76,57.81,0.23,0.0,0.29,0.19,0.33,1.3,1.3,0.15,0.3,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.5,0.5,2.81,3.31,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
71,Women's Flyweight,Carli Judice,,,,,,,,,,,,,,,,,,,,,0.24,0.13,0.0,53.04,91.63,49.5,86.62,0.17,0.0,0.22,0.14,0.29,5.01,8.54,5.01,8.54,0.59,0.59,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Women's Flyweight,Gabriella Fernandes,2023-06-17 00:00:00,29.0,5 ft 6 in,66 in,1.63,48,2.7,47,xx,21.0,13.0,15.0,xx,xx,xx,0,0,61,0,xx,0.0,0.14,0.0,23.95,37.42,11.62,24.4,0.31,0.0,0.39,0.14,0.45,0.48,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Heavyweight,Andrei Arlovski,2024-01-13 00:00:00,44.0,6 ft 3 in,77 in,3.78,45,3.2,58,0.58,920.0,329.0,398.0,xx,xx,xx,0.38,37,77,0.21,xx,0.24,0.26,0.24,49.94,98.1,45.8,93.96,0.49,0.0,0.6,0.33,0.83,1.52,1.52,0.47,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Heavyweight,Martin Buday,2023-12-16 00:00:00,32.0,6 ft 4 in,77 in,5.17,52,5.7,55,xx,194.0,62.0,37.0,xx,xx,xx,0.26,25,100,0.26,xx,0.0,0.34,0.17,77.32,131.35,50.96,100.75,0.58,0.15,0.63,0.46,0.52,7.36,8.01,4.1,7.15,0.0,0.0,0.0,0.0,0.23,0.73,0.0,0.23,0.0,0.0,2.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0
75,Middleweight,Andre Muniz,2023-12-09 00:00:00,33.0,6 ft 1 in,78 in,1.97,50,1.99,54,-0.02,127.0,32.0,30.0,xx,xx,xx,4.23,50,36,1.25,xx,1.70997696e+18,0.06,1.7140683827848102e+18,43.84,83.73,21.68,48.13,0.56,0.0,0.73,0.4,0.95,0.0,0.0,0.52,0.9,0.0,0.0,0.25,0.0,4.21,7.05,0.0,0.55,0.17,0.17,2.9,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
76,Middleweight,Ikram Aliskerov,2023-10-21 00:00:00,30.0,6 ft 0 in,76 in,8.24,65,7.15,xx,1.09,34.0,18.0,1.0,xx,xx,xx,2.33,33,xx,2.33,xx,0.0,0.3,0.0,12.42,18.86,12.42,18.86,0.43,0.48,0.57,0.34,0.23,0.43,0.43,0.0,0.23,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
77,Featherweight,Jeka Saragih,2023-11-18 00:00:00,28.0,5 ft 8 in,69 in,xx,xx,xx,xx,xx,0.0,0.0,0.0,xx,xx,xx,xx,xx,xx,xx,xx,0.0,0.0,0.0,5.51,11.27,4.16,7.89,0.22,0.25,0.29,0.17,0.18,0.45,0.45,0.0,0.23,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.95,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Featherweight,Westin Wilson,2024-01-13 00:00:00,34.0,6 ft 1 in,73 in,2.11,34,6.62,29,-4.51,8.0,3.0,4.0,xx,xx,xx,0,0,xx,4.23,xx,0.0,0.0,0.0,5.91,13.08,3.66,10.83,0.25,0.0,0.17,0.07,0.48,0.23,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
79,Flyweight,Jose Johnson,2023-11-18 00:00:00,28.0,6 ft 0 in,72.5 in,2.8,61,1.73,56,1.07,92.0,30.0,14.0,xx,xx,xx,0.62,50,37,0.62,xx,0.0,0.09,0.0,55.14,75.36,27.59,43.97,0.5,0.0,0.5,0.4,0.51,2.05,2.7,1.0,3.31,0.25,0.5,1.7,0.0,0.45,0.7,0.0,0.33,0.75,1.45,13.09,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
80,Flyweight,Alex Perez,2024-04-27 00:00:00,32.0,5 ft 6 in,65.5 in,4.1,46,3.13,59,0.97,202.0,45.0,82.0,xx,xx,xx,2.06,44,83,0.93,xx,0.0,0.13,0.12,24.99,57.84,21.16,51.75,0.48,0.55,0.68,0.36,0.85,0.15,0.15,1.05,1.62,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,2.2,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Flyweight,Tagir Ulanbekov,2023-12-16 00:00:00,32.0,5 ft 7 in,70 in,3.22,46,3.3,51,-0.08,147.0,23.0,12.0,xx,xx,xx,3.71,47,61,2.12,xx,0.0,0.13,0.0,56.64,99.25,34.93,74.71,0.62,0.25,0.62,0.46,0.64,1.85,2.28,3.15,3.85,1.0,1.0,0.72,0.0,2.57,5.47,0.0,0.61,0.0,0.0,3.6,4.3,0.0,0.0,0.3,0.0,0.3,0.0,0.0,1.85,0.0
82,Welterweight,Conor McGregor,2021-07-10 00:00:00,34.0,5 ft 9 in,74 in,5.32,50,4.66,54,0.66,419.0,102.0,78.0,xx,xx,xx,0.67,56,67,0.13,xx,0.0,0.22,0.0,49.24,75.91,30.79,56.29,0.67,0.65,0.64,0.54,0.64,1.97,1.97,1.52,2.05,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,6.65,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,
83,Welterweight,Michael Chandler,2022-11-12 00:00:00,37.0,5 ft 8 in,71.5 in,4.89,46,4.58,46,0.31,240.0,64.0,35.0,xx,xx,xx,2.17,38,71,0.87,xx,0.16,0.13,0.0,55.61,113.72,45.24,99.2,0.55,0.37,0.68,0.45,0.77,0.6,0.6,0.7,0.7,0.0,0.0,0.17,0.0,1.18,3.18,0.0,0.37,0.17,0.35,9.98,15.03,0.35,0.52,0.0,0.0,0.0,0.0,0.0,0.17,
84,Light Heavyweight,Jamahal Hill,2024-04-13 00:00:00,32.0,6 ft 4 in,79 in,7.18,55,3.51,46,3.67,408.0,156.0,56.0,xx,xx,xx,0,xx,73,0,xx,0.18,0.19,0.0,86.71,143.71,74.73,131.3,0.52,0.32,0.76,0.34,0.65,3.33,3.33,4.6,5.68,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.68,0.68,9.11,12.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85,Light Heavyweight,Khalil Rountree Jr.,2023-12-09 00:00:00,34.0,6 ft 1 in,76.5 in,3.84,39,4.18,50,-0.34,267.0,92.0,92.0,xx,xx,xx,0,0,59,0.13,xx,0.41,0.21,0.32,45.46,108.98,44.11,107.17,0.47,0.97,0.8,0.37,0.92,0.45,0.45,2.17,3.45,0.17,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.35,0.52,1.05,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
86,Women's Bantamweight,Mayra Bueno Silva,2024-01-20 00:00:00,32.0,5 ft 6 in,66.5 in,3.84,58,4.86,53,xx,201.0,135.0,87.0,xx,xx,xx,0.68,38,68,1.63,xx,5.44,12.38,8.97,56.49,82.39,43.29,67.59,0.73,0.0,0.65,0.6,0.79,8.74,9.84,5.01,5.41,0.0,0.0,0.0,0.0,1.15,3.01,0.0,0.22,0.0,0.0,2.75,3.45,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.65,
87,Women's Bantamweight,Macy Chiasson,2024-03-16 00:00:00,32.0,5 ft 11 in,72 in,3.53,45,2.53,47,1,204.0,125.0,27.0,xx,xx,xx,2.38,37,63,0.45,xx,4.85,12.94,4.57,68.6,122.59,28.35,77.12,0.53,0.0,0.65,0.3,0.53,2.39,2.74,1.32,1.62,0.0,0.17,0.4,0.0,2.7,5.2,0.0,0.67,0.0,0.0,2.28,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,
88,Featherweight,Cub Swanson,2023-08-12 00:00:00,39.0,5 ft 8 in,70 in,4.7,51,3.84,59,0.86,1340.0,326.0,348.0,xx,xx,xx,1.09,52,61,0.42,xx,0.2,0.3,0.21,52.25,86.35,41.96,73.81,0.63,0.5,0.72,0.55,0.64,3.38,3.38,2.0,3.21,0.25,0.25,0.0,0.0,0.63,0.88,0.0,0.5,0.0,0.0,1.3,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
89,Featherweight,Andre Fili,2024-06-29 00:00:00,33.0,5 ft 11 in,74 in,3.85,37,4.11,51,xx,760.0,127.0,117.0,xx,xx,xx,2.16,48,69,0.26,xx,0.0,0.13,0.0,35.44,82.15,29.31,73.63,0.42,0.43,0.41,0.38,0.52,0.0,0.0,0.6,1.17,0.0,0.0,0.2,0.0,0.17,0.92,0.0,0.06,0.0,0.0,3.1,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,
90,Middleweight,Joe Pyfer,2024-02-10 00:00:00,27.0,6 ft 2 in,75 in,3.66,41,3.58,51,0.08,168.0,48.0,22.0,xx,xx,xx,1.49,42,50,0.9,xx,0.18,0.27,0.0,38.8,97.54,38.05,96.31,0.44,0.32,0.74,0.35,0.58,0.45,0.45,0.0,0.0,0.0,0.0,0.15,0.0,0.83,2.55,0.0,0.32,1.0,1.0,1.22,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,
91,Women's Strawweight,Michelle Waterson-Gomez,2023-09-23 00:00:00,38.0,5 ft 3 in,62 in,3.56,47,4.19,50,0.63,364.0,226.0,201.0,xx,xx,xx,1.42,32,70,0.68,xx,0.32,0.12,0.48,68.45,159.21,57.29,145.78,0.45,0.0,0.64,0.27,0.62,2.25,2.85,3.34,5.17,1.13,1.13,0.0,0.0,1.0,5.92,0.0,0.3,0.0,0.0,2.87,4.87,0.0,0.0,0.3,0.15,0.15,0.0,0.0,0.0,
92,Women's Strawweight,Gillian Robertson,2024-01-20 00:00:00,28.0,5 ft 5 in,63 in,2.61,46,3.12,56,-0.51,260.0,72.0,71.0,xx,xx,xx,2.53,43,44,0.97,xx,0.14,0.08,0.28,50.29,112.4,36.55,90.13,0.49,0.0,0.35,0.36,0.71,0.9,1.05,0.6,1.73,0.0,0.0,0.0,0.0,1.8,4.12,0.0,0.54,0.0,0.0,7.31,9.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,
93,Flyweight,Carlos Hernandez,2023-12-09 00:00:00,30.0,5 ft 8 in,67 in,4.95,46,4.54,47,0.41,187.0,58.0,23.0,xx,xx,xx,1.11,15,66,0.28,xx,0.1,0.19,0.0,56.09,117.07,50.26,109.74,0.48,0.0,0.49,0.42,0.52,3.49,4.02,5.8,7.87,0.0,0.0,0.0,0.0,0.8,4.85,0.0,0.1,0.17,0.17,2.05,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,
94,Bantamweight,Vinicius Oliveira,2024-01-13 00:00:00,31.0,5 ft 6 in,69 in,3.01,44,3.61,62,-0.6,347.0,79.0,75.0,xx,xx,xx,5.49,47,77,0.36,xx,0.0,0.17,0.13,28.59,55.9,23.33,49.38,0.24,0.48,0.3,0.18,0.32,0.5,0.75,0.25,2.51,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.13,0.5,0.5,3.26,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
95,Bantamweight,Payton Talbott,2024-03-23 00:00:00,25.0,5 ft 10 in,70.5 in,8.05,54,3.58,51,4.47,171.0,57.0,24.0,xx,xx,xx,0,0,90,0.48,xx,0.37,0.2,0.19,66.47,114.11,55.11,100.67,0.41,0.25,0.56,0.33,0.66,2.0,2.0,1.1,3.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,8.37,11.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,
96,Bantamweight,Yanis Ghemmouri,2023-09-02 00:00:00,29.0,5 ft 9 in,69 in,2.27,38,4.22,41,-1.95,0.0,7.0,21.0,xx,xx,xx,0,0,xx,0,xx,0.0,0.0,0.14,10.03,22.06,7.02,18.3,0.11,0.0,0.16,0.0,0.14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
